epoch,step,total_loss,pred_loss,sigreg_loss,decoded_loss,decoded_mae,decoded_mse,decoded_r2,tol_acc_0.01,tol_acc_0.05,tol_acc_0.10
1,400,0.08371225544251501,0.03323001390323043,1.233212285786867,0.03815011896658689,0.11565456973388791,0.03815011896658689,0.772695052921772,0.12625954790972174,0.47114210050553085,0.6661009233444929
2,800,0.05041683781892061,0.018518984059337527,1.4296253453195096,0.01760160068515688,0.07635437441058457,0.01760160068515688,0.8947320434451104,0.1731376636773348,0.5870902444422245,0.7800143375992775
3,1200,0.045916229118593034,0.013665043156361207,1.8167297461628913,0.014083889038302004,0.06441671570762991,0.014083889038302004,0.9157518815994262,0.22814172649756073,0.6529957028478384,0.824547957777977
4,1600,0.043772920640185474,0.012383397980593146,1.8855382364988327,0.012534140557982028,0.057613526713103054,0.012534140557982028,0.9250960475206376,0.2721313543245196,0.6964380304515362,0.8520717300474644
5,2000,0.049171433015726504,0.015187414669198915,2.1189983570575714,0.01279403526801616,0.059521068530157206,0.01279403526801616,0.9235362619161606,0.24962252244353295,0.6813209018111229,0.8451062370836735
