epoch,step,total_loss,pred_loss,sigreg_loss,decoded_loss,decoded_mae,decoded_mse,decoded_r2,tol_acc_0.01,tol_acc_0.05,tol_acc_0.10
1,1,1.181829810142517,0.9720659255981445,1.1547672748565674,0.19821622967720032,0.3132558763027191,0.19821622967720032,-0.5115785598754883,0.02603200450539589,0.13404452800750732,0.25098562240600586
1,2,0.8523584008216858,0.618196427822113,1.1354621648788452,0.22280734777450562,0.3248651325702667,0.22280734777450562,-0.38384556770324707,0.03256206959486008,0.15839074552059174,0.2881840765476227
1,3,0.6968796253204346,0.45533937215805054,1.1503772735595703,0.2300364375114441,0.3273603916168213,0.2300364375114441,-0.3190215826034546,0.04027562215924263,0.15993788838386536,0.3093944191932678
1,4,0.6161818504333496,0.3942210078239441,0.9798086285591125,0.2121627777814865,0.31302183866500854,0.2121627777814865,-0.2083759307861328,0.03410325199365616,0.16110347211360931,0.3273477554321289
1,5,0.5379273295402527,0.3362089991569519,1.1391222476959229,0.19032710790634155,0.28672081232070923,0.19032710790634155,-0.17472219467163086,0.03668610379099846,0.19274376332759857,0.3631357252597809
1,6,0.46948492527008057,0.2697312831878662,0.9312711954116821,0.19044093787670135,0.28936055302619934,0.19044093787670135,-0.08898234367370605,0.04633520171046257,0.20016339421272278,0.3748832941055298
1,7,0.44863361120224,0.24106724560260773,1.0562933683395386,0.19700340926647186,0.3023550510406494,0.19700340926647186,-0.023128509521484375,0.04395604506134987,0.1990632265806198,0.3752477169036865
1,8,0.394550085067749,0.21434204280376434,1.0697641372680664,0.1695103943347931,0.27614983916282654,0.1695103943347931,0.03481709957122803,0.03879246488213539,0.20746180415153503,0.39608365297317505
1,9,0.35404694080352783,0.1851080358028412,0.9980791807174683,0.1589580923318863,0.2724365293979645,0.1589580923318863,0.0799560546875,0.03396708518266678,0.1953858882188797,0.3771699070930481
1,10,0.3155233860015869,0.16317689418792725,0.965668261051178,0.1426898092031479,0.25428149104118347,0.1426898092031479,0.14913487434387207,0.049438346177339554,0.22218696773052216,0.38097354769706726
1,11,0.28726860880851746,0.15350115299224854,1.0577445030212402,0.1231900230050087,0.2381298840045929,0.1231900230050087,0.2136426568031311,0.05131695419549942,0.24501463770866394,0.3974681794643402
1,12,0.27899718284606934,0.13300661742687225,1.0025599002838135,0.13596497476100922,0.2534579932689667,0.13596497476100922,0.21729910373687744,0.046957384794950485,0.23143725097179413,0.3835369944572449
1,13,0.25709640979766846,0.11996801197528839,1.0240843296051025,0.12688757479190826,0.2485186904668808,0.12688757479190826,0.3028601408004761,0.04511278122663498,0.21570318937301636,0.3880808651447296
1,14,0.23130592703819275,0.11341490596532822,1.0383431911468506,0.10750759392976761,0.22909635305404663,0.10750759392976761,0.319705069065094,0.04503493756055832,0.20982302725315094,0.3922068774700165
1,15,0.204196035861969,0.09144055843353271,0.9748654365539551,0.10300682485103607,0.23167024552822113,0.10300682485103607,0.39185988903045654,0.043178245425224304,0.21056227385997772,0.38313862681388855
1,16,0.20757821202278137,0.09528655558824539,1.133509874343872,0.10095655173063278,0.23263432085514069,0.10095655173063278,0.46025049686431885,0.04629556089639664,0.2119431495666504,0.3809259235858917
1,17,0.18100294470787048,0.08335919678211212,1.0395421981811523,0.08724833279848099,0.20574325323104858,0.08724833279848099,0.4454469084739685,0.05228523537516594,0.24425700306892395,0.44496291875839233
